"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","significance"
"N4BP1",9.87331010949896e-10,0.737798653098519,0.807,0.601,1.48228004673908e-05,"Significant"
"OAZ2",9.93680287104574e-10,0.54229180305376,0.982,0.931,1.4918122150301e-05,"Significant"
"BIN1",1.08346643104976e-09,1.41068609537398,0.505,0.335,1.62660815293501e-05,"Significant"
"ZC3H12D",1.09455814790491e-09,2.25742505365456,0.322,0.142,1.64326014744965e-05,"Significant"
"KIAA1217",1.2189224430318e-09,0.477067912426541,0.998,0.936,1.82996826372365e-05,"Significant"
"PYHIN1",1.22157868719856e-09,2.60249999476584,0.23,0.052,1.8339560830912e-05,"Significant"
"RUNX2",1.2337327871856e-09,1.47598561339998,0.455,0.3,1.85220303340173e-05,"Significant"
"DENND1C",1.24328310356665e-09,2.11361911317613,0.339,0.142,1.86654092338462e-05,"Significant"
"ZFYVE28",1.24670300790128e-09,0.879466081256428,0.698,0.524,1.87167522576219e-05,"Significant"
"PTPN7",1.29278655202502e-09,2.0688843740449,0.3,0.103,1.94086045055516e-05,"Significant"
"GFI1",1.3197417576831e-09,2.77937775684992,0.204,0.034,1.98132830080964e-05,"Significant"
"DPEP2",1.36488809909766e-09,1.89937753296055,0.359,0.172,2.04910650317532e-05,"Significant"
"PRDM2",1.3766175531858e-09,0.735177952939383,0.803,0.614,2.06671593259785e-05,"Significant"
"MRC1",1.39016074041119e-09,2.3400927113244,0.238,0.056,2.08704831957932e-05,"Significant"
"LIMK1",1.47426261412931e-09,0.681272618905445,0.855,0.652,2.21331046259234e-05,"Significant"
"EPB41L3",1.47719189735474e-09,0.697763991296267,0.926,0.747,2.21770819549867e-05,"Significant"
"JCHAIN",1.51122076214891e-09,2.62968482409207,0.326,0.142,2.26879573021416e-05,"Significant"
"PRKD2",1.51660554236062e-09,0.592007620948197,0.989,0.906,2.27687990074599e-05,"Significant"
"PLXNA1",1.53325101419904e-09,0.783156096087354,0.864,0.717,2.30186974761701e-05,"Significant"
"MARVELD1",1.65062429560863e-09,0.965981499438861,0.639,0.519,2.47808225499724e-05,"Significant"
"M6PR",1.68405528667079e-09,0.497763191462224,0.989,0.948,2.52827220187886e-05,"Significant"
"UTRN",1.7400199312204e-09,0.985164257128128,0.672,0.532,2.61229192274119e-05,"Significant"
"TCN2",1.79398051131407e-09,1.78547795638634,0.39,0.227,2.69330294163582e-05,"Significant"
"TIGIT",1.89926286826356e-09,2.57935314854193,0.234,0.056,2.85136334412408e-05,"Significant"
"COL15A1",1.89940838487559e-09,0.564224047347276,0.998,0.966,2.85158180821372e-05,"Significant"
"SCO2",1.92955125005656e-09,0.63815541237609,0.967,0.828,2.89683529170991e-05,"Significant"
"RASSF1",1.97276360836929e-09,0.694446496207776,0.829,0.639,2.96171000524482e-05,"Significant"
"AGPAT4",2.02318877297322e-09,1.56114096500478,0.401,0.227,3.03741330486469e-05,"Significant"
"HERC6",2.07188002927074e-09,0.840312755109828,0.759,0.558,3.11051348794416e-05,"Significant"
"CD82",2.11607439188618e-09,1.30437546858113,0.529,0.399,3.17686248453872e-05,"Significant"
"CMTM7",2.24491196590004e-09,1.88517242087252,0.355,0.172,3.37028633440573e-05,"Significant"
"DDX17",2.36584419304604e-09,0.471470132277491,0.994,0.97,3.55184188702002e-05,"Significant"
"BIRC3",2.38037064466551e-09,3.53426525901339,0.164,0.013,3.57365044883634e-05,"Significant"
"TMEM204",2.44616774792409e-09,0.73719794135762,0.818,0.652,3.67243163995843e-05,"Significant"
"TRAK1",2.44738604453636e-09,0.461795132238521,0.989,0.923,3.67426066866244e-05,"Significant"
"VAV1",2.47542820363682e-09,1.89006355491755,0.379,0.21,3.71636036211995e-05,"Significant"
"CCN5",2.47980616827988e-09,2.26480458402016,0.234,0.056,3.72293300043859e-05,"Significant"
"NLRC3",2.53353017591475e-09,1.91892910924871,0.315,0.116,3.80358885310081e-05,"Significant"
"FCMR",2.54202299870752e-09,2.26899238098359,0.344,0.18,3.8163391279596e-05,"Significant"
"ADAP2",2.75601310460246e-09,1.13717580820534,0.575,0.464,4.13760247393967e-05,"Significant"
"TSPO",2.83356959112509e-09,0.404679986711071,1,0.974,4.2540380271561e-05,"Significant"
"EPB41L2",2.86688528406947e-09,0.957007423017266,0.648,0.524,4.30405487697349e-05,"Significant"
"GIMAP7",2.96086655208489e-09,1.90938374802244,0.378,0.206,4.44514895464505e-05,"Significant"
"FMN1",3.05209960496422e-09,0.741530126228559,0.891,0.678,4.58211713693279e-05,"Significant"
"MAPRE2",3.255532316989e-09,0.797601515468826,0.703,0.506,4.88753066749559e-05,"Significant"
"DHX58",3.25714288395747e-09,0.642852765239423,0.971,0.815,4.88994861168535e-05,"Significant"
"AKR1B1",3.2875752489541e-09,1.54989591072715,0.459,0.322,4.9356367212548e-05,"Significant"
"GPR137B",3.29733343557118e-09,0.64234104916647,0.899,0.708,4.95028668682301e-05,"Significant"
"ZNF516",3.52825230826319e-09,0.640576261765568,0.899,0.665,5.29696519039553e-05,"Significant"
"MXRA5",3.80318889596749e-09,1.03924488360503,0.685,0.562,5.709727489516e-05,"Significant"
"MLLT1",3.8998203790353e-09,0.419870584042395,1,0.961,5.8548003350457e-05,"Significant"
"TSPAN9",4.22719294179534e-09,0.612819606506005,0.877,0.721,6.34628476351734e-05,"Significant"
"ATP8B2",4.23285274059825e-09,1.62265225316247,0.407,0.249,6.35478181946015e-05,"Significant"
"CD276",4.29456388976324e-09,0.417556934839044,1,0.966,6.44742876770155e-05,"Significant"
"STIMATE",4.48489814529664e-09,0.64460709013522,0.934,0.773,6.73317758553385e-05,"Significant"
"ACP2",4.57540474786474e-09,0.644601077515465,0.961,0.773,6.86905514796933e-05,"Significant"
"PLAUR",4.58591810089941e-09,0.918057071244307,0.687,0.575,6.88483884488029e-05,"Significant"
"FCGR3A",4.97712937850156e-09,0.965953998842395,0.676,0.549,7.47216433594439e-05,"Significant"
"CAPZB",5.05221403325975e-09,0.351743116057275,1,1,7.58488892813287e-05,"Significant"
"GPR132",5.05880138968716e-09,2.33282928482586,0.293,0.107,7.59477852633733e-05,"Significant"
"TUT7",5.09755715855671e-09,0.678142462005762,0.891,0.712,7.65296256214119e-05,"Significant"
"DOCK11",5.12042411090297e-09,2.14861156651564,0.284,0.099,7.68729271769862e-05,"Significant"
"SLFN12L",5.25973310340417e-09,2.94930275829223,0.188,0.03,7.89643730814067e-05,"Significant"
"MAP3K12",5.70318294248542e-09,0.610358686389267,0.948,0.807,8.56218855155337e-05,"Significant"
"PTGER2",5.73502662237347e-09,2.58673267890752,0.195,0.034,8.60999546816929e-05,"Significant"
"IGFBP3",5.743708758766e-09,1.2911304106173,0.635,0.489,8.6230299595354e-05,"Significant"
"EVI2B",5.86000853965058e-09,1.93892361251223,0.311,0.12,8.79763082057741e-05,"Significant"
"FXYD6",6.43398788467787e-09,1.16624823804601,0.558,0.446,9.65934601126688e-05,"Significant"
"GZMB",6.51387601680888e-09,3.47981747499101,0.179,0.026,9.77928206403517e-05,"Significant"
"SCML4",7.09620031077159e-09,2.31853656795795,0.232,0.06,0.000106535255265614,"Significant"
"TM4SF1",7.1753062272119e-09,1.28119902227083,0.547,0.395,0.000107722872389132,"Significant"
"STK4",7.30658640143363e-09,0.711252916438045,0.948,0.811,0.000109693781644723,"Significant"
"HCST",7.30868453140897e-09,2.3999641673018,0.201,0.039,0.000109725280870043,"Significant"
"MRTFA",7.45561785770175e-09,0.658348267001,0.906,0.734,0.000111931190897676,"Significant"
"MYOF",7.49098566521919e-09,0.532435588456305,0.983,0.901,0.000112462167791936,"Significant"
"CSGALNACT2",7.55745989782613e-09,0.828472306378088,0.705,0.575,0.000113460145446064,"Significant"
"GLIPR2",7.64646708261251e-09,1.54335926957187,0.431,0.288,0.000114796410311262,"Significant"
"ELK4",7.68901543609924e-09,0.61766884564821,0.88,0.661,0.000115435188742158,"Significant"
"RALGDS",8.41627966279245e-09,0.774166330204577,0.766,0.609,0.000126353606577503,"Significant"
"PTPN1",8.74066011086627e-09,0.504890656879873,0.993,0.918,0.000131223530244435,"Significant"
"SH3PXD2B",9.09479603056196e-09,0.503297464619483,0.985,0.863,0.000136540172806827,"Significant"
