"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","significance"
"CMSS1",3.12544927762414e-10,-0.913960904916029,0.238,0.476,4.69223700049713e-06,"Significant"
"GOT1",3.14222237716266e-10,-0.907682931489974,0.267,0.506,4.71741845483429e-06,"Significant"
"CLHC1",3.19619917341688e-10,-1.79435748844798,0.076,0.236,4.79845381905077e-06,"Significant"
"HMGA1",3.1990407392482e-10,-1.99822982181363,0.048,0.189,4.80271986183332e-06,"Significant"
"ZNF285",3.20579310394601e-10,-1.90512041742215,0.041,0.176,4.81285718695415e-06,"Significant"
"TMEM33",3.20679719552675e-10,-0.346663542731176,0.994,0.979,4.8143646296443e-06,"Significant"
"DDTL",3.26722723123171e-10,-0.833599120040834,0.166,0.403,4.90508824224817e-06,"Significant"
"ZSWIM3",3.33678901307907e-10,-1.17818697682968,0.085,0.262,5.00952134533561e-06,"Significant"
"ZDHHC2",3.34219781353885e-10,-0.998229821813633,0.109,0.309,5.01764157746588e-06,"Significant"
"ZNF433",3.39337364925907e-10,-1.59408063867753,0.068,0.227,5.09447185963264e-06,"Significant"
"CYP51A1",3.39783264247314e-10,-2.2562461528808,0.035,0.163,5.10116614614493e-06,"Significant"
"ASB8",3.42789605105403e-10,-0.923128366572915,0.177,0.412,5.14630034144742e-06,"Significant"
"ANKRA2",3.43918492690619e-10,-1.04107282281937,0.11,0.309,5.16324833076427e-06,"Significant"
"PSMC3IP",3.46984302888506e-10,-0.993657092023809,0.192,0.421,5.20927533926513e-06,"Significant"
"PAPOLA",3.47503945329509e-10,-0.31410651958236,1,0.996,5.21707673123192e-06,"Significant"
"GLO1",3.47657900591591e-10,-1.0717588572356,0.12,0.322,5.21938806158156e-06,"Significant"
"SHCBP1",3.52430299481569e-10,-1.92106196129117,0.055,0.202,5.29103608611679e-06,"Significant"
"CNIH4",3.54796080300684e-10,-1.41326732109248,0.068,0.232,5.32655355355416e-06,"Significant"
"FHOD1",3.70453387613401e-10,-0.473535660122263,0.956,0.931,5.56161670823999e-06,"Significant"
"PREP",3.7156192794857e-10,-1.00303080807745,0.114,0.318,5.57825922429188e-06,"Significant"
"SLC38A1",3.77574259264575e-10,-0.360918531200209,0.993,0.991,5.66852235433906e-06,"Significant"
"CDKN2D",3.78275374505718e-10,-0.913783484385659,0.262,0.506,5.67904819745435e-06,"Significant"
"NOP16",3.78892161735226e-10,-0.340283731292581,0.991,0.979,5.68830802413095e-06,"Significant"
"HSPB1",3.86552451298234e-10,-0.18586627131658,1,1,5.80331195134039e-06,"Significant"
"ISCA2",3.89248774357844e-10,-1.96604941606448,0.061,0.21,5.84379184943431e-06,"Significant"
"WDR5B",3.90527006202413e-10,-1.02797716520769,0.116,0.318,5.86298194411682e-06,"Significant"
"RGL2",3.93204519143646e-10,-0.28681646764677,1,1,5.90317944590356e-06,"Significant"
"MYO5B",3.99555492710263e-10,-0.507226567703631,0.913,0.854,5.99852661205918e-06,"Significant"
"LAMTOR4",4.02700206551993e-10,-0.259096390964717,1,1,6.04573820096507e-06,"Significant"
"NUDT12",4.06629335759529e-10,-1.90867823683534,0.055,0.202,6.1047262177578e-06,"Significant"
"C1orf112",4.06782124727398e-10,-0.906240957316067,0.157,0.386,6.10702003853243e-06,"Significant"
"ACAA1",4.09305397719612e-10,-0.235027899615057,1,1,6.14490193596454e-06,"Significant"
"FBLL1",4.106408598032e-10,-2.1348923691242,0.044,0.18,6.16495122822544e-06,"Significant"
"AGBL5",4.15875404038873e-10,-0.964967367681885,0.127,0.335,6.2435374408356e-06,"Significant"
"TOMM6",4.16503187720391e-10,-0.389942214161681,0.978,0.957,6.25296235724623e-06,"Significant"
"MAPK6",4.16790232616577e-10,-1.18362803566788,0.096,0.279,6.25727176227268e-06,"Significant"
"MLLT11",4.19604896640549e-10,-1.47216101014605,0.096,0.27,6.29952831326456e-06,"Significant"
"CADPS2",4.23540274028776e-10,-0.6381665980395,0.759,0.781,6.35861013399401e-06,"Significant"
"ACOXL",4.30054007885522e-10,-0.873890757262146,0.298,0.536,6.45640082038535e-06,"Significant"
"SINHCAF",4.30823950988403e-10,-2.08311871940015,0.035,0.163,6.46795997618889e-06,"Significant"
"ZNF593",4.31261729434767e-10,-0.36505495544148,0.987,0.974,6.47453234400415e-06,"Significant"
"PNCK",4.35152041388117e-10,-2.97550974531355,0.013,0.112,6.5329375973598e-06,"Significant"
"GRIK5",4.38910538131958e-10,-2.18409636712497,0.033,0.159,6.58936390897508e-06,"Significant"
