"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"PRKCA",1.68997940571989e-21,1.72108996661962,0.592,0.065,5.53265457844578e-17,"0","PRKCA"
"ITCH",2.66255474520143e-20,1.4302084134465,0.816,0.174,8.71667172484044e-16,"0","ITCH"
"ABL2",2.67382977906407e-20,1.50639077102961,0.643,0.095,8.75358393069996e-16,"0","ABL2"
"ALCAM",3.01073308359937e-20,1.67208053296348,0.714,0.124,9.85653796908763e-16,"0","ALCAM"
"FARS2",8.52826477512617e-20,1.48700712472277,0.684,0.114,2.7919833220808e-15,"0","FARS2"
"UBE2G1",9.38092960644993e-20,1.28461178182462,0.714,0.134,3.07112873455958e-15,"0","UBE2G1"
"SETD5",3.1578798960807e-19,1.25227946291522,0.816,0.189,1.0338267203789e-14,"0","SETD5"
"CDC42BPA",3.47113655258594e-19,1.36569259750804,0.776,0.169,1.13638068458558e-14,"0","CDC42BPA"
"DNAJC1",3.66262349818714e-19,0.778308403907601,0.633,0.104,1.19906968083651e-14,"0","DNAJC1"
"AGO2",3.8401563832737e-19,1.67700250514579,0.673,0.124,1.25719039675615e-14,"0","AGO2"
"ASH1L",3.87144971663963e-19,1.27729709325115,0.827,0.204,1.26743520823348e-14,"0","ASH1L"
"ZFYVE9",7.02102124970366e-19,1.8581492989087,0.48,0.04,2.29854193672798e-14,"0","ZFYVE9"
"MCU",8.76022154418011e-19,1.44179596929675,0.663,0.114,2.86792132913369e-14,"0","MCU"
"UPK3B",1.48058179004228e-18,1.7461930047143,0.653,0.109,4.84712866424042e-14,"0","UPK3B"
"PRRC2B",1.79334901821005e-18,1.20688914353008,0.704,0.134,5.87106601581606e-14,"0","PRRC2B"
"CCDC41",1.90800685169542e-18,1.01708441465041,0.643,0.114,6.24643283108047e-14,"0","CCDC41"
"EXT1",2.29501455355675e-18,1.17917030324755,0.724,0.144,7.51341864543409e-14,"0","EXT1"
"C9orf3",2.4341009294506e-18,1.54389777066945,0.633,0.109,7.96875962283539e-14,"0","C9orf3"
"ZMYM2",2.68462859267683e-18,1.3094165484566,0.622,0.1,8.78893708670541e-14,"0","ZMYM2"
"PITPNC1",4.57785758391757e-18,1.50876191094084,0.776,0.184,1.49869901582293e-13,"0","PITPNC1"
"NRF1",4.88581028975247e-18,1.58774470824108,0.633,0.109,1.59951657265916e-13,"0","NRF1"
"AC004158.2",5.33094147564013e-18,2.24406290095538,0.541,0.07,1.74524362029507e-13,"0","AC004158.2"
"USP36",5.91936797382008e-18,1.8103364440352,0.551,0.08,1.93788268726922e-13,"0","USP36"
"PPP6R2",6.28361916376778e-18,1.01564417661413,0.704,0.139,2.05713124183429e-13,"0","PPP6R2"
"EP300",8.38903788798752e-18,1.95945825175769,0.5,0.06,2.74640322376936e-13,"0","EP300"
"ANO6",8.39923723136344e-18,1.79206479756531,0.5,0.055,2.74974228480376e-13,"0","ANO6"
"ARHGAP10",9.40989995110645e-18,1.29604393773706,0.755,0.179,3.08061304599323e-13,"0","ARHGAP10"
"IQCB1",1.10179010023032e-17,0.927042956555852,0.592,0.09,3.60704043013403e-13,"0","IQCB1"
"FOXJ3",1.32859985524618e-17,1.5054684699089,0.653,0.124,4.34957020610495e-13,"0","FOXJ3"
"FANCI",1.39435434021779e-17,1.36906422313979,0.694,0.144,4.56483723900501e-13,"0","FANCI"
"SIK3",1.65575797175779e-17,1.01349448857852,0.735,0.149,5.42062044794067e-13,"0","SIK3"
"TRPM7",1.74128846766169e-17,1.27511313996368,0.673,0.129,5.70063018543083e-13,"0","TRPM7"
"AKAP9",1.93260658008038e-17,0.970212747304494,0.653,0.119,6.32696742186713e-13,"0","AKAP9"
"NSD1",2.00015810785072e-17,0.97981261140296,0.724,0.154,6.54811761348168e-13,"0","NSD1"
"KIF1B",3.45634191127465e-17,1.35492269403836,0.571,0.095,1.13153721491309e-12,"0","KIF1B"
"ME1",3.73151209025994e-17,0.884030737504527,0.694,0.159,1.2216224281093e-12,"0","ME1"
"GPR110",4.20373201702705e-17,1.09174193451039,0.551,0.085,1.37621778773432e-12,"0","GPR110"
"RFWD2",4.28361415590596e-17,1.31229608628578,0.673,0.134,1.40236960236049e-12,"0","RFWD2"
"RP11-761E20.1",6.58742616526057e-17,1.46913408998107,0.633,0.119,2.15659157798301e-12,"0","RP11-761E20.1"
"CENPP",7.05731714434416e-17,1.67390946591677,0.541,0.085,2.31042448671539e-12,"0","CENPP"
"PARD3",7.38967203334018e-17,1.07563034562649,0.918,0.274,2.41923083027491e-12,"0","PARD3"
"BRAF",7.55320814681241e-17,0.975732728403316,0.714,0.144,2.47276928310345e-12,"0","BRAF"
"ADNP",7.65862990091153e-17,1.18582132390271,0.704,0.159,2.50728225696042e-12,"0","ADNP"
"MPP6",8.18645269590893e-17,0.990556951111612,0.714,0.159,2.68008088358667e-12,"0","MPP6"
"INADL",8.76973107173917e-17,1.30482418414725,0.643,0.119,2.87103455826597e-12,"0","INADL"
"ARHGEF12",9.5338980377686e-17,0.911843456930914,0.724,0.169,3.12120753960469e-12,"0","ARHGEF12"
"LDLRAD3",1.03055863051325e-16,1.74673425226657,0.561,0.09,3.37384284457428e-12,"0","LDLRAD3"
"HS6ST2",1.09794885378974e-16,0.84368797341397,0.786,0.189,3.59446495753687e-12,"0","HS6ST2"
"C15orf41",1.3129130270013e-16,0.82355846275434,0.643,0.119,4.29821466779686e-12,"0","C15orf41"
"ZNF385B",1.45683521467924e-16,2.45770148873399,0.429,0.04,4.76938712581689e-12,"0","ZNF385B"
"TRAF3",1.57350188404175e-16,1.26884877920222,0.673,0.139,5.15133046797587e-12,"0","TRAF3"
"DOCK5",1.79616525936211e-16,1.16980784502666,0.776,0.184,5.88028582609966e-12,"0","DOCK5"
"ATP9B",1.85183309419965e-16,1.12886946993218,0.602,0.1,6.06253118379083e-12,"0","ATP9B"
"GATAD2A",1.97783364190038e-16,0.766407543043599,0.765,0.184,6.47503177685347e-12,"0","GATAD2A"
"GREB1L",2.00804272805682e-16,1.46141011632044,0.663,0.139,6.57393028311241e-12,"0","GREB1L"
"ARHGAP32",2.07300982357455e-16,0.622431840084207,0.612,0.109,6.78661956041837e-12,"0","ARHGAP32"
"MKL2",2.38412159661353e-16,1.00751729922007,0.602,0.1,7.80513728299338e-12,"0","MKL2"
"SPIDR",2.38955035677905e-16,1.16201946643813,0.888,0.274,7.82290995802324e-12,"0","SPIDR"
"DYM",2.56784738763533e-16,1.21147419463801,0.571,0.1,8.40661877764055e-12,"0","DYM"
"IGF2BP3",2.57726059842553e-16,1.36186414109864,0.806,0.224,8.43743574712549e-12,"0","IGF2BP3"
"MBTPS1",2.60071123143563e-16,1.38963043410929,0.541,0.085,8.51420842947398e-12,"0","MBTPS1"
"RASAL2",2.67016081938593e-16,1.17837208647033,0.663,0.134,8.74157249050565e-12,"0","RASAL2"
"RABGAP1L",2.7235726764744e-16,1.14951788140164,0.765,0.179,8.91643222824189e-12,"0","RABGAP1L"
"TYW1",3.043969701641e-16,1.70252045050253,0.531,0.08,9.96534800923232e-12,"0","TYW1"
"KMT2C",3.40756834283722e-16,1.59164455769836,0.602,0.114,1.11556972407805e-11,"0","KMT2C"
"PIGL",3.91731312583952e-16,1.66893429405754,0.5,0.07,1.28244997113734e-11,"0","PIGL"
"CAMK2D",4.69188147694476e-16,1.11098631446054,0.745,0.189,1.53602815792218e-11,"0","CAMK2D"
"XPO4",4.73038294627722e-16,1.15155090308203,0.694,0.149,1.54863276895223e-11,"0","XPO4"
"AC011043.1",5.55270782900637e-16,1.25461874266809,0.582,0.1,1.8178454890601e-11,"0","AC011043.1"
"PDSS2",5.92735759860671e-16,1.00649870832769,0.643,0.124,1.94049833063186e-11,"0","PDSS2"
"RERE",6.51575955847778e-16,0.716367845925207,0.816,0.219,2.13312936425446e-11,"0","RERE"
"UIMC1",6.80055288235957e-16,0.899852392891886,0.653,0.139,2.22636500262688e-11,"0","UIMC1"
"FBXW7",6.86966794162512e-16,1.18917154441156,0.735,0.184,2.24899189072923e-11,"0","FBXW7"
"CTDSPL2",7.24118408714632e-16,0.567554201880607,0.704,0.154,2.37061884644996e-11,"0","CTDSPL2"
"PUM1",7.45684207789375e-16,1.05283122446931,0.816,0.239,2.44122095946086e-11,"0","PUM1"
"DPH6",8.25802754061848e-16,1.34325241727358,0.602,0.119,2.70351305624768e-11,"0","DPH6"
"CSPP1",8.50327737439172e-16,0.942414593391951,0.837,0.219,2.78380294682836e-11,"0","CSPP1"
"APC",8.64318513435173e-16,1.6267963810284,0.469,0.055,2.82960594928407e-11,"0","APC"
"NFAT5",8.94417889464192e-16,1.25068268372243,0.918,0.348,2.92814528652787e-11,"0","NFAT5"
"PTPN1",9.21197722556353e-16,1.09340481031112,0.612,0.124,3.01581710410499e-11,"0","PTPN1"
"TANC2",9.46904953801077e-16,1.37526218504091,0.673,0.154,3.09997743775397e-11,"0","TANC2"
"AMBRA1",9.591610309678e-16,0.927446331017659,0.582,0.109,3.14010138318238e-11,"0","AMBRA1"
"TRAPPC9",9.93067293070712e-16,1.39232940349074,0.684,0.154,3.2511037040549e-11,"0","TRAPPC9"
"NPC1",1.01346767660706e-15,5.853074641228,0.306,0.005,3.3178904796762e-11,"0","NPC1"
"KANK1",1.10286362302571e-15,1.05995384405461,0.714,0.159,3.61055492906158e-11,"0","KANK1"
"KIF18A",1.14644793334297e-15,1.23150969979092,0.612,0.124,3.75324124417822e-11,"0","KIF18A"
"WHSC1L1",1.1496679415377e-15,0.717616289238198,0.643,0.129,3.76378290700612e-11,"0","WHSC1L1"
"ARHGAP26",1.16776473420902e-15,1.08568198735997,0.653,0.139,3.82302818685349e-11,"0","ARHGAP26"
"GPBP1",1.28187066226042e-15,0.934428760805659,0.724,0.179,4.19658817410815e-11,"0","GPBP1"
"VPS13B",1.3606175181814e-15,1.08861985201983,0.857,0.239,4.45438963102227e-11,"0","VPS13B"
"POLQ",1.55763906189166e-15,1.15300917779142,0.531,0.085,5.09939876082091e-11,"0","POLQ"
"CMIP",1.62037921703625e-15,1.22277076567867,0.724,0.184,5.30479748073328e-11,"0","CMIP"
"RP11-268G12.1",1.69882251113271e-15,1.54795660691473,0.459,0.055,5.56160513694627e-11,"0","RP11-268G12.1"
"MELK",1.79524551468823e-15,0.648970673109653,0.755,0.199,5.87727476598632e-11,"0","MELK"
"ATP2B1",1.877926448487e-15,0.938557873428141,0.673,0.159,6.14795560705675e-11,"0","ATP2B1"
"VWA8",1.96403496306719e-15,1.04871409399437,0.684,0.149,6.42985766208936e-11,"0","VWA8"
"STK24",2.10447647347647e-15,1.0733964632902,0.663,0.159,6.88963507886728e-11,"0","STK24"
"CTNND1",2.21185054436319e-15,1.13001630395304,0.52,0.09,7.24115631213622e-11,"0","CTNND1"
"DNAJC11",2.38406017927516e-15,1.19125884659292,0.592,0.119,7.80493621491103e-11,"0","DNAJC11"
"IPO7",2.70573883923151e-15,0.757457598688067,0.929,0.303,8.85804781187611e-11,"0","IPO7"
"NUDCD3",2.78940543052048e-15,1.38744532934134,0.5,0.075,9.13195549843794e-11,"0","NUDCD3"
"ANKIB1",2.8762320687415e-15,1.31089449019231,0.622,0.134,9.41620854664591e-11,"0","ANKIB1"
"PRKACB",3.06722338839288e-15,0.774317486894327,0.786,0.219,1.00414759289206e-10,"0","PRKACB"
"STK33",3.12799313742681e-15,1.55464383737006,0.459,0.06,1.02404239333079e-10,"0","STK33"
"CDC42BPB",3.37142232252157e-15,1.90249788373283,0.571,0.119,1.10373623994711e-10,"0","CDC42BPB"
"ARFIP1",3.45394508679112e-15,1.11340028392053,0.541,0.095,1.13075254251368e-10,"0","ARFIP1"
"UBR5",4.02306303149569e-15,0.908447752625304,0.837,0.244,1.31707037525106e-10,"0","UBR5"
"TUBGCP3",4.19985128160353e-15,1.53337328901536,0.541,0.104,1.37494731257136e-10,"0","TUBGCP3"
"BDNF",4.62089146520264e-15,0.897988658669004,0.663,0.149,1.51278744787804e-10,"0","BDNF"
"SMC5",5.05455491823017e-15,0.948246773583931,0.643,0.149,1.65476018913019e-10,"0","SMC5"
"TXLNG",5.42123137019432e-15,1.20204688825442,0.571,0.109,1.77480272597422e-10,"0","TXLNG"
"NUP160",5.84343857071309e-15,1.71654308425491,0.5,0.085,1.91302491928005e-10,"0","NUP160"
"EDRF1",5.866543338411e-15,0.673553782328661,0.48,0.07,1.92058895812899e-10,"0","EDRF1"
"DNAH14",5.86769776984334e-15,1.04595406297953,0.827,0.234,1.92096689589131e-10,"0","DNAH14"
"SMG1",5.87886612581601e-15,0.735554606456035,0.663,0.159,1.92462319226964e-10,"0","SMG1"
"CHD9",6.76586396085211e-15,0.59217395088488,0.673,0.149,2.21500854350376e-10,"0","CHD9"
"SLMAP",7.31168928896888e-15,0.7973253108704,0.786,0.204,2.39370083942263e-10,"0","SLMAP"
"UGGT2",7.38619667837633e-15,1.21635348330602,0.643,0.144,2.41809306856684e-10,"0","UGGT2"
"FANCA",7.50983738271314e-15,0.948695438538009,0.704,0.179,2.45857056235263e-10,"0","FANCA"
"UBR1",7.9725631903144e-15,0.687875630478508,0.51,0.08,2.61005773724513e-10,"0","UBR1"
"SEPT9",8.13979310764491e-15,0.964460075261814,0.776,0.219,2.66480546758079e-10,"0","SEPT9"
"EEA1",8.27073147046805e-15,1.03275248181287,0.551,0.095,2.70767206880183e-10,"0","EEA1"
"SCFD2",8.29479278964736e-15,1.00472841523118,0.663,0.154,2.71554926347475e-10,"0","SCFD2"
"PHIP",8.56384062774254e-15,0.932446950048857,0.582,0.119,2.80363014471035e-10,"0","PHIP"
"ATP8B1",8.92945779873628e-15,1.52611613502413,0.449,0.055,2.92332589415028e-10,"0","ATP8B1"
"SERTAD2",9.0698269987568e-15,1.28103886345978,0.592,0.129,2.969279962853e-10,"0","SERTAD2"
"MON2",9.23682517731704e-15,1.24194349248782,0.5,0.08,3.02395182655005e-10,"0","MON2"
"ATAD5",9.63089277641015e-15,1.20252630276589,0.48,0.07,3.15296167714115e-10,"0","ATAD5"
"PPP1R9A",9.92115397325618e-15,1.40199329903903,0.51,0.085,3.24798738776461e-10,"0","PPP1R9A"
"POU2F1",1.01394540755639e-14,1.22730855864044,0.5,0.08,3.31945447525812e-10,"0","POU2F1"
"RBM26",1.17309618774546e-14,0.488314546616759,0.755,0.184,3.8404822994411e-10,"0","RBM26"
"SPIN1",1.19119093641475e-14,0.593440250803251,0.653,0.144,3.8997208876346e-10,"0","SPIN1"
"SIPA1L1",1.25699496141925e-14,1.08315980462315,0.592,0.119,4.11515010469435e-10,"0","SIPA1L1"
"USP31",1.31512818036988e-14,1.12975428513154,0.459,0.065,4.30546663689492e-10,"0","USP31"
"C22orf34",1.3429956395124e-14,0.598443173668387,0.745,0.189,4.3966991246357e-10,"0","C22orf34"
"POGZ",1.35686708102599e-14,1.69477461461625,0.49,0.075,4.44211144986287e-10,"0","POGZ"
"TPST1",1.46971445520508e-14,1.62876434178507,0.439,0.055,4.8115511834504e-10,"0","TPST1"
"TBCD",1.48680725612186e-14,0.976978862879822,0.602,0.129,4.86750959509176e-10,"0","TBCD"
"ANKRD10",1.64368571499773e-14,1.08876480569805,0.684,0.169,5.38109829375957e-10,"0","ANKRD10"
"EHMT1",1.66753477524745e-14,0.93844133831152,0.765,0.214,5.4591753472051e-10,"0","EHMT1"
"TGFBR2",1.82840750498091e-14,1.17812986187529,0.531,0.095,5.9858404898065e-10,"0","TGFBR2"
"SRPK2",1.89154622722954e-14,1.09533756968119,0.837,0.264,6.19254403870406e-10,"0","SRPK2"
"ARMC8",2.01106798359692e-14,1.45341635248468,0.469,0.075,6.5838343646996e-10,"0","ARMC8"
"LRRC16A",2.02264193145432e-14,1.14866232802357,0.592,0.129,6.62172515519515e-10,"0","LRRC16A"
"ENTPD1-AS1",2.220445945548e-14,1.83438870220474,0.408,0.045,7.26929593653505e-10,"0","ENTPD1-AS1"
"HTT",2.2304530350869e-14,0.927745038914542,0.439,0.06,7.30205714626749e-10,"0","HTT"
"TMEM41B",2.38844065126848e-14,1.30080583157407,0.531,0.095,7.81927700412274e-10,"0","TMEM41B"
"PTPN12",2.48126708118104e-14,1.32940165378421,0.51,0.095,8.1231721703705e-10,"0","PTPN12"
"GLS",2.59916099910049e-14,0.927393371415955,0.663,0.154,8.50913327885517e-10,"0","GLS"
"PSPC1",2.81710082727351e-14,0.760461253366769,0.694,0.164,9.22262468832801e-10,"0","PSPC1"
"TMCC1",2.97256927549031e-14,1.01000478674136,0.633,0.144,9.73159729410019e-10,"0","TMCC1"
"SCLT1",3.02612955948176e-14,1.25662626162644,0.52,0.095,9.90694295183139e-10,"0","SCLT1"
"EXOC6B",3.23165978510852e-14,1.02207943624636,0.653,0.149,1.05798078044883e-09,"0","EXOC6B"
"SRGAP1",3.26158354435096e-14,0.603210743810239,0.765,0.199,1.06777722074962e-09,"0","SRGAP1"
"RAI14",3.34556082646659e-14,1.03861369693445,0.561,0.114,1.09526970336863e-09,"0","RAI14"
"GDAP1",3.35400894085145e-14,2.06520165121973,0.439,0.06,1.09803544705595e-09,"0","GDAP1"
"SLC25A26",3.60989364902984e-14,1.24764436857319,0.5,0.09,1.18180698281939e-09,"0","SLC25A26"
"PLEKHA5",3.68456451928135e-14,0.992027472229874,0.704,0.179,1.20625273232233e-09,"0","PLEKHA5"
"CUEDC1",3.70661014206388e-14,0.766041453752908,0.571,0.119,1.21347002830887e-09,"0","CUEDC1"
"STRN",3.7218533530061e-14,1.94567990561805,0.388,0.045,1.21846035070714e-09,"0","STRN"
"CEP192",3.77633743207608e-14,0.968864644927583,0.561,0.109,1.23629734851307e-09,"0","CEP192"
"USP24",4.02799418161028e-14,1.03481360404411,0.51,0.09,1.31868473517557e-09,"0","USP24"
"MTUS1",4.23895955843298e-14,0.992867981279394,0.745,0.204,1.38775058023979e-09,"0","MTUS1"
"NPAS2",4.27773176076511e-14,2.29422230604374,0.357,0.03,1.40044382383928e-09,"0","NPAS2"
"BMPR1A",4.48296845733705e-14,0.839410720405171,0.653,0.154,1.467634213563e-09,"0","BMPR1A"
"NCOA6",4.67744228810639e-14,1.09854775160717,0.469,0.075,1.53130105628027e-09,"0","NCOA6"
"DIP2C",4.90447760256924e-14,0.955424428928554,0.49,0.08,1.60562787752912e-09,"0","DIP2C"
"THSD4",4.90465361413252e-14,1.20293766655059,0.449,0.06,1.6056855001947e-09,"0","THSD4"
"BTRC",4.99239536396706e-14,1.58553736810073,0.51,0.095,1.63441039425554e-09,"0","BTRC"
"POLA1",5.09625773553463e-14,1.01950955685972,0.663,0.169,1.66841285745933e-09,"0","POLA1"
"UBAP2",5.29038018660631e-14,0.724965692376854,0.755,0.219,1.73196466549118e-09,"0","UBAP2"
"PIEZO1",5.34039526825836e-14,2.16761353648799,0.398,0.05,1.74833860292242e-09,"0","PIEZO1"
"PBRM1",5.48014660261989e-14,0.567569312778258,0.724,0.184,1.7940903947657e-09,"0","PBRM1"
"PPAT",6.10521166051906e-14,0.684863490044553,0.684,0.169,1.99872419342073e-09,"0","PPAT"
"SVIL",6.25182788717948e-14,1.24223594001409,0.541,0.104,2.04672341370482e-09,"0","SVIL"
"SLC25A12",6.39952275481327e-14,0.415221219550814,0.541,0.1,2.09507575947077e-09,"0","SLC25A12"
"ARID2",6.45592953348441e-14,0.986257528702703,0.724,0.189,2.11354221067213e-09,"0","ARID2"
"BRCA1",6.61717246816817e-14,0.912845318504101,0.612,0.134,2.1663299226289e-09,"0","BRCA1"
"ATE1",6.70446172945786e-14,1.05473122348738,0.633,0.149,2.19490668098991e-09,"0","ATE1"
"ATP2C1",7.05251721484559e-14,0.69276658577119,0.48,0.075,2.30885308579615e-09,"0","ATP2C1"
"FAM120B",7.40240970244938e-14,1.28773425644922,0.439,0.06,2.42340088838788e-09,"0","FAM120B"
"POLR1B",7.51437731824036e-14,1.08253320853572,0.51,0.09,2.46005684644553e-09,"0","POLR1B"
"MRE11A",7.86742093016126e-14,2.15232922842585,0.306,0.015,2.57563626411619e-09,"0","MRE11A"
"RP11-983P16.4",7.92170410669256e-14,1.39276583046753,0.367,0.035,2.59340749044901e-09,"0","RP11-983P16.4"
"LLGL2",8.15031840987147e-14,0.914972109748683,0.602,0.134,2.66825124102372e-09,"0","LLGL2"
"EPN2",8.16754816410576e-14,0.92923462460816,0.592,0.129,2.67389191796494e-09,"0","EPN2"
"SBNO1",8.73804779110981e-14,1.07186364834135,0.561,0.114,2.86066208585353e-09,"0","SBNO1"
"KIF16B",8.96857591278606e-14,1.41601457679527,0.367,0.035,2.9361323823279e-09,"0","KIF16B"
"NCKAP1",9.30139486201994e-14,0.787828232405387,0.663,0.164,3.04509064992809e-09,"0","NCKAP1"
"GTDC1",9.79156856592529e-14,1.29137931132966,0.429,0.06,3.20556371711262e-09,"0","GTDC1"
"RAD51B",1.0352943000271e-13,0.861591516732441,0.827,0.259,3.38934647942871e-09,"0","RAD51B"
"FAM13A",1.07633351087526e-13,0.652513786141364,0.582,0.119,3.52370064790343e-09,"0","FAM13A"
"RC3H2",1.09230977706265e-13,1.18883425659039,0.418,0.055,3.5760037481477e-09,"0","RC3H2"
"AGO3",1.12437371222915e-13,0.502232248432537,0.653,0.154,3.68097465909578e-09,"0","AGO3"
"PUM2",1.13694930176337e-13,0.649528989282187,0.776,0.214,3.72214462411291e-09,"0","PUM2"
"EML4",1.14712237120105e-13,0.783543042463729,0.571,0.119,3.75544921883799e-09,"0","EML4"
"PPP3CC",1.21636028095801e-13,1.5867890534051,0.398,0.05,3.98212028780032e-09,"0","PPP3CC"
"CRKL",1.24932107539897e-13,1.46364430433707,0.418,0.06,4.09002733664114e-09,"0","CRKL"
"HERC4",1.30593510618039e-13,1.02695160942409,0.643,0.159,4.27537035061336e-09,"0","HERC4"
"ARFGEF1",1.46096916766368e-13,1.11382478003444,0.531,0.1,4.78292086109736e-09,"0","ARFGEF1"
"RANBP2",1.61462699413374e-13,0.807440875495672,0.684,0.174,5.28596585339503e-09,"0","RANBP2"
"ARHGEF7",1.67512358882071e-13,1.05785744460032,0.459,0.07,5.48401960508123e-09,"0","ARHGEF7"
"RFC3",1.70277657386508e-13,0.853826905444255,0.745,0.224,5.57454994751951e-09,"0","RFC3"
"STK3",1.81563361529594e-13,0.973781250848888,0.816,0.259,5.94402132975583e-09,"0","STK3"
"BBX",1.87957197239494e-13,0.972600668677737,0.704,0.204,6.15334272322654e-09,"0","BBX"
"PHC2",1.89993763098636e-13,0.574065005455955,0.704,0.189,6.22001581632314e-09,"0","PHC2"
"RSRC1",1.90304189581666e-13,0.663202100887323,0.745,0.229,6.23017855852459e-09,"0","RSRC1"
"TET3",1.91777535996589e-13,1.00097201996099,0.469,0.075,6.27841297345634e-09,"0","TET3"
"DDHD1",1.97254034326281e-13,0.833193371297133,0.51,0.095,6.45770257577379e-09,"0","DDHD1"
"TRAK1",1.97580698364665e-13,1.15287758981547,0.48,0.09,6.4683969030624e-09,"0","TRAK1"
"MBD5",1.98456362676501e-13,0.510820604167409,0.5,0.09,6.49706440130328e-09,"0","MBD5"
"TFCP2",2.00750760468173e-13,0.335464690695898,0.694,0.179,6.57217839620706e-09,"0","TFCP2"
"SLC35F3",2.07527797803674e-13,1.08559846391915,0.888,0.343,6.79404504449668e-09,"0","SLC35F3"
"ESCO1",2.07995435603643e-13,1.30888416811282,0.408,0.05,6.80935457079206e-09,"0","ESCO1"
"EPC2",2.14270980878226e-13,1.59367829123031,0.429,0.06,7.01480337199136e-09,"0","EPC2"
"NELFA",2.14624566480854e-13,1.03517818263446,0.51,0.104,7.0263790574502e-09,"0","NELFA"
"RNF4",2.15421547480519e-13,1.19336852596484,0.541,0.114,7.05247062141724e-09,"0","RNF4"
"KNTC1",2.32396862853436e-13,1.53375425775136,0.48,0.09,7.60820849609578e-09,"0","KNTC1"
"NAA16",2.45058481070814e-13,0.878632736240665,0.48,0.08,8.02272455329632e-09,"0","NAA16"
"SLC12A2",2.51568367824722e-13,0.83034705692362,0.592,0.139,8.23584522584575e-09,"0","SLC12A2"
"TRIO",2.62778838113681e-13,0.827539870699261,0.776,0.224,8.60285360216569e-09,"0","TRIO"
"DIP2B",2.69717031237328e-13,0.938674020587226,0.663,0.164,8.82999616864764e-09,"0","DIP2B"
"RIF1",2.70681548685497e-13,0.63647459717073,0.827,0.249,8.86157254086579e-09,"0","RIF1"
"CEP128",2.83148150288878e-13,0.971977385264908,0.582,0.124,9.2697041441573e-09,"0","CEP128"
"EPT1",2.83722250225218e-13,1.24450117248553,0.5,0.095,9.28849902787319e-09,"0","EPT1"
"ADAM9",2.87432596844745e-13,0.641490192511684,0.704,0.199,9.40996835550326e-09,"0","ADAM9"
"CNOT4",2.96420191356021e-13,1.06470821036911,0.551,0.109,9.70420422461343e-09,"0","CNOT4"
"ENTPD5",3.02904808627481e-13,2.57407097713264,0.327,0.025,9.91649762484646e-09,"0","ENTPD5"
"OSBPL1A",3.04835515415513e-13,0.93597669631359,0.49,0.095,9.97970510367307e-09,"0","OSBPL1A"
"CHSY1",3.0489083273403e-13,1.22123000069701,0.459,0.075,9.98151608204669e-09,"0","CHSY1"
"RAD18",3.15971257386662e-13,0.78637649108142,0.561,0.124,1.03442670243245e-08,"0","RAD18"
"AGAP1",3.23423146130075e-13,1.17056365503284,0.898,0.308,1.05882269580064e-08,"0","AGAP1"
"KMT2A",3.24784570637659e-13,0.91435115518143,0.622,0.149,1.06327972735357e-08,"0","KMT2A"
"SLC12A8",3.26042969672736e-13,1.3296789202842,0.439,0.065,1.0673994741146e-08,"0","SLC12A8"
"IP6K1",3.27015619682711e-13,1.16875020496657,0.439,0.07,1.07058373571726e-08,"0","IP6K1"
"BTBD1",3.43056578765708e-13,1.12775980349733,0.5,0.1,1.12309862756317e-08,"0","BTBD1"
"TMED5",3.43734144525871e-13,1.39731844910945,0.408,0.06,1.1253168423488e-08,"0","TMED5"
"ABCC4",3.57981288318448e-13,1.12871518953597,0.592,0.134,1.17195914169693e-08,"0","ABCC4"
"ZFP36L1",3.69551343674177e-13,0.650656203610326,0.765,0.234,1.20983718892052e-08,"0","ZFP36L1"
"UBE3A",3.79244256946018e-13,0.552698069213553,0.765,0.219,1.24156984838987e-08,"0","UBE3A"
"AGPAT9",3.87351776324684e-13,1.25860091193318,0.439,0.07,1.26811224533175e-08,"0","AGPAT9"
"COMMD10",4.23864459620323e-13,1.02569128217383,0.684,0.184,1.38764746790501e-08,"0","COMMD10"
"LSR",4.3906047769137e-13,0.39391010878327,0.643,0.164,1.43739619186601e-08,"0","LSR"
"SLX4IP",4.43695593520074e-13,0.689877076972745,0.469,0.08,1.45257063406602e-08,"0","SLX4IP"
"USO1",4.45313123507567e-13,0.938104599059819,0.582,0.139,1.45786610373907e-08,"0","USO1"
"SCMH1",4.49022512934061e-13,0.762889268930598,0.684,0.179,1.47000990284353e-08,"0","SCMH1"
"B3GALNT2",4.54285930205783e-13,1.64240338496993,0.398,0.055,1.48724127830769e-08,"0","B3GALNT2"
"TTC19",4.65209553305227e-13,1.15532303595752,0.561,0.134,1.52300303561065e-08,"0","TTC19"
"KTN1",4.71318061382244e-13,0.775094883518929,0.929,0.348,1.54300106935319e-08,"0","KTN1"
"PTK2",4.71924093919054e-13,1.035869745434,0.959,0.388,1.5449850986722e-08,"0","PTK2"
"RFWD3",4.76096231117282e-13,0.808036108884457,0.551,0.114,1.55864384143176e-08,"0","RFWD3"
"SMURF2",4.78379691462845e-13,0.863049344678453,0.867,0.313,1.56611943391106e-08,"0","SMURF2"
"TBC1D5",4.8064446420736e-13,0.785196293097773,0.857,0.294,1.57353384692206e-08,"0","TBC1D5"
"CENPK",5.04090850335569e-13,0.893962878802833,0.5,0.1,1.65029262582859e-08,"0","CENPK"
