"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"GTF2H1",2.32946579023777e-09,0.640786979073825,0.418,0.1,7.62620510408042e-05,"0","GTF2H1"
"NXN",2.33645825028109e-09,0.608595051438259,0.755,0.274,7.64909701977023e-05,"0","NXN"
"LRRFIP1",2.34010102296295e-09,0.38781273568035,0.684,0.224,7.6610227289761e-05,"0","LRRFIP1"
"HIATL1",2.34403109741864e-09,1.03934320119606,0.439,0.109,7.67388900672916e-05,"0","HIATL1"
"SNX24",2.40282100290093e-09,1.34813968986076,0.296,0.045,7.86635539929706e-05,"0","SNX24"
"ATP9A",2.41210674956816e-09,2.67694935804735,0.204,0.01,7.89675507673626e-05,"0","ATP9A"
"PGP",2.44179550504911e-09,0.308490960126681,0.643,0.204,7.99395012442977e-05,"0","PGP"
"RAP1A",2.4512965029261e-09,0.503021080315768,0.5,0.139,8.02505449127948e-05,"0","RAP1A"
"SLC38A1",2.47772864251858e-09,0.543461384230795,0.755,0.289,8.11158802987734e-05,"0","SLC38A1"
"GPRC5A",2.48097256445639e-09,0.164374774525729,0.551,0.159,8.12220798151733e-05,"0","GPRC5A"
"UTP20",2.48932643400148e-09,0.449353164172254,0.561,0.164,8.14955687963406e-05,"0","UTP20"
"PHKB",2.51793272464755e-09,1.32869310496202,0.357,0.07,8.24320815395116e-05,"0","PHKB"
"PRKX",2.554192761434e-09,1.30864644813156,0.265,0.03,8.36191626238264e-05,"0","PRKX"
"KIAA1731",2.55594059125171e-09,0.235658974981889,0.378,0.075,8.36763830763986e-05,"0","KIAA1731"
"ARPP19",2.568041555305e-09,0.109271551055843,0.704,0.229,8.40725444375751e-05,"0","ARPP19"
"NELFB",2.58117492700745e-09,0.443080339973409,0.52,0.149,8.45025047603699e-05,"0","NELFB"
"PIAS1",2.60014735932598e-09,0.907267376889711,0.429,0.109,8.51236242496141e-05,"0","PIAS1"
"NDUFAF2",2.60231744526421e-09,0.386569906666858,0.735,0.264,8.51946685230596e-05,"0","NDUFAF2"
"CDKL1",2.60536402516756e-09,2.35534448139817,0.204,0.01,8.52944074559357e-05,"0","CDKL1"
"FBXO21",2.61867245113827e-09,0.503093872317569,0.449,0.109,8.57300987053648e-05,"0","FBXO21"
"ORC4",2.62432365024666e-09,0.833572522632473,0.459,0.124,8.59151076617753e-05,"0","ORC4"
"NOS1AP",2.63850924400695e-09,0.743339507571528,0.265,0.03,8.63795156302996e-05,"0","NOS1AP"
"DENND4C",2.64293700435564e-09,0.602581505477309,0.357,0.065,8.65244716485951e-05,"0","DENND4C"
"CASK",2.67542374389006e-09,0.700155854866522,0.49,0.124,8.75880225274729e-05,"0","CASK"
"ESF1",2.68083226959333e-09,0.190525408810829,0.867,0.333,8.77650868419464e-05,"0","ESF1"
"WDR76",2.70281063577801e-09,0.666354664195845,0.418,0.1,8.84846145941003e-05,"0","WDR76"
"DDX52",2.71228924000173e-09,0.320225090799016,0.694,0.239,8.87949251391765e-05,"0","DDX52"
"ARHGAP11A",2.71670729292483e-09,0.262326057680518,0.571,0.174,8.8939563355773e-05,"0","ARHGAP11A"
"ARHGAP21",2.7301410060724e-09,0.544173857386856,0.378,0.075,8.93793562567982e-05,"0","ARHGAP21"
"TPD52",2.74157066085757e-09,0.421915607792892,0.816,0.308,8.97535402951552e-05,"0","TPD52"
"WDFY3",2.75414934566494e-09,0.462300182798603,0.418,0.095,9.01653412783789e-05,"0","WDFY3"
"SMIM15",2.80418982836981e-09,0.483959673295342,0.612,0.199,9.18035666011709e-05,"0","SMIM15"
"MLLT10",2.806902060286e-09,0.551874291024755,0.724,0.254,9.1892359649643e-05,"0","MLLT10"
"CIRH1A",2.81061622410833e-09,0.250934696667492,0.459,0.119,9.20139539448585e-05,"0","CIRH1A"
"GTF2IRD1",2.81085802515086e-09,1.07025145113076,0.367,0.075,9.20218700273887e-05,"0","GTF2IRD1"
"NUP153",2.81764123921578e-09,0.373538075650044,0.633,0.194,9.22439388894462e-05,"0","NUP153"
"MCM10",2.83609236772775e-09,0.388877546037842,0.582,0.179,9.28479919346709e-05,"0","MCM10"
"YTHDC2",2.8501239024658e-09,0.265430158883073,0.408,0.095,9.33073563189254e-05,"0","YTHDC2"
"COL4A3BP",2.87511451109395e-09,0.849359528951046,0.378,0.08,9.41254988641936e-05,"0","COL4A3BP"
"DCAF7",2.91191358393501e-09,0.337492743442923,0.571,0.169,9.53302269108645e-05,"0","DCAF7"
"EVPL",2.92060432456531e-09,1.68928951705905,0.235,0.02,9.56147443776192e-05,"0","EVPL"
"TTL",2.92206936269655e-09,1.42811087234414,0.296,0.045,9.56627067959596e-05,"0","TTL"
"RSF1",2.92762340592556e-09,0.479976719617116,0.602,0.194,9.58445350631909e-05,"0","RSF1"
"USP10",2.96581770411599e-09,0.500351707223006,0.806,0.303,9.70949399973494e-05,"0","USP10"
"FANCC",2.98537990106096e-09,0.632545971729152,0.469,0.119,9.77353672009338e-05,"0","FANCC"
"FNDC3B",2.99133670303961e-09,0.503933255196659,0.633,0.199,9.79303809841108e-05,"0","FNDC3B"
"POLDIP3",3.00091693214694e-09,0.321541094124715,0.357,0.07,9.82440185246264e-05,"0","POLDIP3"
"RP11-96H19.1",3.01207827856004e-09,0.929111171938393,0.388,0.08,9.86094186834987e-05,"0","RP11-96H19.1"
"CLASP2",3.02014068699146e-09,0.716284838233715,0.439,0.109,9.88733658107264e-05,"0","CLASP2"
"OSBPL9",3.02355018903755e-09,0.717889194773996,0.449,0.109,9.89849860887112e-05,"0","OSBPL9"
"PCID2",3.02372365903021e-09,0.736708613828206,0.551,0.169,9.8990665149331e-05,"0","PCID2"
"TDRD3",3.05130538175402e-09,0.923309148684407,0.378,0.085,9.9893635587863e-05,"0","TDRD3"
"PAXIP1",3.05971557059163e-09,0.618092093743056,0.327,0.06,0.000100168968350029,"0","PAXIP1"
"PLA2G16",3.07785914134481e-09,0.815260672052663,0.337,0.065,0.000100762952569346,"0","PLA2G16"
"MIR29A",3.10549909159656e-09,0.653744741398394,0.633,0.204,0.000101667829260688,"0","MIR29A"
"ELP2",3.11829621436191e-09,0.397057801171757,0.418,0.095,0.00010208678146578,"0","ELP2"
"EP400",3.11849403792695e-09,0.843389547336987,0.439,0.104,0.000102093257813652,"0","EP400"
"CTC-228N24.3",3.12314467335287e-09,0.288352359537388,0.541,0.154,0.000102245510316226,"0","CTC-228N24.3"
"ZMYM4",3.12338804679766e-09,0.217512970726332,0.612,0.194,0.000102253477876062,"0","ZMYM4"
"SSBP4",3.12355287902086e-09,0.191834839927924,0.551,0.164,0.000102258874153385,"0","SSBP4"
"ZCCHC7",3.14047713686586e-09,0.673099911488775,0.847,0.333,0.000102812940506715,"0","ZCCHC7"
"ITSN1",3.16507188152719e-09,0.466833448338965,0.469,0.119,0.000103618123257437,"0","ITSN1"
"CHCHD6",3.19119496234438e-09,0.80879512713641,0.378,0.08,0.00010447334067723,"0","CHCHD6"
